News_Agency,Tweet_text,Tweet_Date_Timestamp,Compound_sentiment_score,Positive_sentiment_score,Negative_sentiment_score,Neutral_sentiment_score
CBS,RT @CBSNews: Speculation over Gary Cohn's tenure in the White House ramped up last week after Pres. Trump announced the 25 percent tariff o…,2018-03-07 01:12:46+00:00,0.0,0.0,0.0,1.0
CBS,@CBSNews @j_breen697,2018-03-07 01:12:46+00:00,0.0,0.0,0.0,1.0
CBS,"RT @CBSNews: Amazon founder and CEO Jeff Bezos moves to top spot on Forbes' annual billionaires list, becoming the first centibillionaire o…",2018-03-07 01:12:49+00:00,0.3612,0.149,0.0,0.851
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:12:56+00:00,0.0,0.0,0.0,1.0
CBS,@CBSNews Just sue the drug companies ( like they did in Ohio)....Yea.. that'll solve the problem,2018-03-07 01:12:56+00:00,0.1531,0.226,0.142,0.632
CBS,RT @CBSNews: CBS News investigates the mining of cobalt used in many lithium ion batteries. More than half the world's cobalt comes from th…,2018-03-07 01:13:04+00:00,0.0,0.0,0.0,1.0
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:13:09+00:00,0.0,0.0,0.0,1.0
CBS,"@CBSNews The man restraining the woman in the photo was heard begging the woman for a Dodgers World Series victory, and a winning lotto ticket....",2018-03-07 01:13:16+00:00,0.5267,0.134,0.0,0.866
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:13:20+00:00,0.0,0.0,0.0,1.0
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:13:21+00:00,0.0,0.0,0.0,1.0
CBS,RT @CBSNews: The little girl who was photographed looking awestruck at Michelle Obama's portrait got to meet -- and dance -- with the forme…,2018-03-07 01:13:27+00:00,0.0,0.0,0.0,1.0
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:13:31+00:00,0.0,0.0,0.0,1.0
CBS,"@CBSNews Let's see. Safe and supervised injection sites, prescription heroin and legal mj, crack down on doctors and pharma and stop judging.",2018-03-07 01:13:35+00:00,-0.25,0.158,0.194,0.647
CBS,@MSNBC @CNN @ABCPolitics @CBSNews @NBCPolitics  PLEASE PLEASE PLEASE stop giving Scaramucci a platform and buying into this sophomoric BS from DC and more importantly trump and the White House!!!,2018-03-07 01:13:48+00:00,0.9147,0.382,0.056,0.562
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:13:50+00:00,0.0,0.0,0.0,1.0
CBS,"RT @CBSNews: In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U.S. is in t…",2018-03-07 01:14:19+00:00,0.0,0.0,0.0,1.0
CBS,RT @CBSNews: Surveillance video shows a woman frantically searching for help as her Saint Bernard puppy chokes on food. Watch as first resp…,2018-03-07 01:15:08+00:00,-0.4019,0.1,0.199,0.701
CBS,RT @CBSNews: CBS News investigates the mining of cobalt used in many lithium ion batteries. More than half the world's cobalt comes from th…,2018-03-07 01:15:12+00:00,0.0,0.0,0.0,1.0
CBS,RT @CBSNews: Surveillance video shows a woman frantically searching for help as her Saint Bernard puppy chokes on food. Watch as first resp…,2018-03-07 01:15:16+00:00,-0.4019,0.1,0.199,0.701
CBS,RT @CBSNews: Surveillance video shows a woman frantically searching for help as her Saint Bernard puppy chokes on food. Watch as first resp…,2018-03-07 01:15:18+00:00,-0.4019,0.1,0.199,0.701
CBS,@CBSNews Where was the concern when the crack epidemic flooded the black and brown communities. Where was the outrage?! Oh I forgot Ya'll put it there! Ijs......,2018-03-07 01:15:22+00:00,0.0,0.0,0.0,1.0
CBS,@stormylynnlehto @CBSNews https://t.co/oVQSJd0U5T check this out,2018-03-07 01:15:29+00:00,0.0,0.0,0.0,1.0
CBS,"RT @CBSNews: ""I find it hard to believe."" Two grandsons of former U.S. president John Tyler are still around nearly 175 after Tyler became…",2018-03-07 01:15:35+00:00,-0.1027,0.0,0.057,0.943
CBS,@CNN @maddow @MSNBC @nytimes @NBCNews @CBSNews @abcnews @washingtonpost https://t.co/uSLbP8qHBU,2018-03-07 01:15:44+00:00,0.0,0.0,0.0,1.0
